Record ID,Object Title,Registration Number,Description.,Marks,Production Date,Provenance (Production),Provenance (History),Categories,Persistent Link,Height,Width,Depth,License info
403025,"Lotto balls (44), in plastic brief case, 1985 - 1995",2010/16/4,"Lotto balls (44) in brief case, plastic / metal, maker unknown, used by NSW Lotteries, Australia, c.1990 A black plastic brief case, contained 44 number plastic Lotto balls.",,1985 - 1995,: unknown; 1985 - 1995|,,Lottery machines|Recreational and Sporting Equipment,http://www.powerhousemuseum.com/collection/database/?irn=403025,,,,"This text content licensed under<a href=""http://creativecommons.org/licenses/by-sa/2.5/au/"" rel=""license"" about=""http://www.powerhousemuseum.com/collection/database/?irn=403025#_cc-by-sa_content"">CC BY-SA</a>."
403024,"Lotto retail terminal, 1987",2010/16/3,"Lotto retail terminal, Datamark, steel / plastic / glass, made by International Totalizator Services, United States of America, 1987 A retail terminal for recording Lotto bets and issuing receipts. The machine consists of a printing and information processing unit contained in a steel case. A small keyboard is attached.",,1987,: unknown; 1987|,,Lottery machines|Recreational and Sporting Equipment,http://www.powerhousemuseum.com/collection/database/?irn=403024,,,,"This text content licensed under<a href=""http://creativecommons.org/licenses/by-sa/2.5/au/"" rel=""license"" about=""http://www.powerhousemuseum.com/collection/database/?irn=403024#_cc-by-sa_content"">CC BY-SA</a>."
403023,"Lotto ball drawing machine, 1990",2010/16/2,"Ball drawing machine, Lotto, perspex / steel / plastic / rubber, made by Paul Ket & Associates, Australia, 1990 The machine consists of a cylindrical steel plinth surmounted by a clear perspex cylinder. A perspex bowl containing the lotto balls sits within the cylinder. A clear tube transported the selected balls to slots for the selected balls at the right front of the machine. The machine was sprayed with a coat of anti-static solution before each game to prevent the balls from clumping together when propelled. The balls are based on Olympic standard table tennis balls to ensure consistency in size and weight.",,1990,: unknown; 1990|,,Lottery machines|Recreational and Sporting Equipment,http://www.powerhousemuseum.com/collection/database/?irn=403023,,,,"This text content licensed under<a href=""http://creativecommons.org/licenses/by-sa/2.5/au/"" rel=""license"" about=""http://www.powerhousemuseum.com/collection/database/?irn=403023#_cc-by-sa_content"">CC BY-SA</a>."
319940,"Lotto ball drawing machine, 1979",2010/16/1,"Ball drawing machine, Lotto, perspex / steel / plastic / rubber, made by Hans Brosch Electrotechnick, Germany, 1979 The machine consists of a steel base surmounted by a clear perspex sphere, and a ball feeder tray. Seven slots for the selected balls are secured to the right front of the base. A steel box with operating switches is at left front. The machine was sprayed with a coat of anti-static solution before each game to prevent the balls from clumping together when propelled. The balls are based on Olympic standard table tennis balls to ensure consistency in size and weight.",,1979,: unknown; 1979|,,Lottery machines|Recreational and Sporting Equipment,http://www.powerhousemuseum.com/collection/database/?irn=319940,900 mm,390 mm,1600 mm,"This text content licensed under<a href=""http://creativecommons.org/licenses/by-sa/2.5/au/"" rel=""license"" about=""http://www.powerhousemuseum.com/collection/database/?irn=319940#_cc-by-sa_content"">CC BY-SA</a>."
404759,"Lace handkerchief belonging to Olga Nikolaevna Romanova, 1830 - 1850",2010/15/1,"Handkerchief, embroidered muslin and lace, maker unknown, Russia, used by Olga Nikolaevna Romanova (1822-1891), Russia, 1840-1846 This fine white square muslin handkerchief is decorated with raised work embroidery in a pattern of exotic flowers and plants. The embroidery is of an extremely high standard and features minute french knots and eyelet holes. A hand made valenciennes lace border with gathered corners is attached with faggotting to the edges of the handkerchief.",Olga Nikolaevna insignia 'ON' with ducal coronet has been embroidered in one corner. An identical insignia appears on items from her dowry that are stored in the Alexander Palace Archive in St Petersburg.,1830 - 1850,Maker: unknown; Russia; 1830 - 1850|,"Owner: unknown; Baden-Wurttemberg, Germany; 1822 - 1891|Owner: unknown; Russia; 1822 - 1891|",Handkerchiefs|Lace|Clothing and Dress,http://www.powerhousemuseum.com/collection/database/?irn=404759,,,,"This text content licensed under<a href=""http://creativecommons.org/licenses/by-sa/2.5/au/"" rel=""license"" about=""http://www.powerhousemuseum.com/collection/database/?irn=404759#_cc-by-sa_content"">CC BY-SA</a>."
404971,"Calculator, TI59, 1979",2010/14/1,"Calculator with cover and accesseories, TI59, plastic / metal / electronic components / paper, made by Texas Instruments Incorporated, United States of America, 1979 The calculator has a black plastic shell, with an red LED screen at the top of the unit. The keypad features forty-five numeral and function keys. A rechargeable battery back fits into the rear of the unit. At the bottom-rear of the unit is a port for the program memory modules. The magnetic programmable cards feed into the unit via a slot on the right side of the unit. Once read, they are then placed in slot below the LED screen for reference. The calculator cover is made of soft, black vinyl and has a zipper that fastens around the top of the unit. The programmable magnetic cards are stored in six vinyl pocket size protective covers, black, with the Texas Instruments logo embossed onto them. The magnetic cards are flat, black strips, 70mm long x 20mm high. The front has a surface that can be written on. The program module is a black plastic unit, 20mm wide x 20mm deep x 10mm high that slots into the calculator. The keypad overlay is a clear plastic template that fits over the keypad to enable the keypad configuration for a particular program. The section of printout is a small piece of thermal printer paper with numeral information printed onto it.",,1979,: unknown; 1979|,,Programmable calculators|Calculating Instruments,http://www.powerhousemuseum.com/collection/database/?irn=404971,,,,"This text content licensed under<a href=""http://creativecommons.org/licenses/by-sa/2.5/au/"" rel=""license"" about=""http://www.powerhousemuseum.com/collection/database/?irn=404971#_cc-by-sa_content"">CC BY-SA</a>."
405349,"Scale model of The Royal Victoria Theatre, 1990",2010/13/1,"Scale model with storage case, The Royal Victoria Theatre, Pitt Street Sydney - 1838-1880, wood / metal / plastic / paper / nylon, made by the University of Sydney, New South Wales, Australia, 1990 The model is constructed of timber - pine and ply wood - metal, wire, plastic and paper. The model sits inside a base which the gallery/auditorium section is fixed to, but the stage section sits free on. The stage section can be removed to give access to the gallery/auditorium section, and to the stage section. A lid can be placed and fixed with latches over the whole model for transport and storage. The stage section has operational parts: three trap-doors, movable wings, set-changing sections can be lowered and heightened in the roof, and the stage curtain can be lowered or brought up into above-stage. Both the stage and the auditorium have lighting that is powered by battery.",,1990,: unknown; 1990|,,Architectural models|Design models|Small scale models|Architectural/Interior Decoration and Fittings,http://www.powerhousemuseum.com/collection/database/?irn=405349,660 mm,670 mm,,"This text content licensed under<a href=""http://creativecommons.org/licenses/by-sa/2.5/au/"" rel=""license"" about=""http://www.powerhousemuseum.com/collection/database/?irn=405349#_cc-by-sa_content"">CC BY-SA</a>."
365512,"Archive of Comet windmills and water supply equipment, 1890 - 1995",12/01/10,"Archive, Sidney Williams & Co Ltd, Comet windmills and water supply equipment, paper / plastic / metal, Rockhampton / Sydney, Queensland / New South Wales, Australia, 1880-1995 The archive contains company documents, advertising material, sales records, production data, staff records, shareholder information, annual reports, design drawings, patent details, photographs, correspondence, printing blocks and identification plates pertaining to Sidney Williams & Co Ltd's Australia-wide operations between the years 1890 and 1995.","The trademark of the company was an image of a Comet windmill accompanied by the words ""Australia's leading mill."" This appears on much of the paperwork.",1890 - 1995,: unknown; 1890 - 1995|,,Archives|Documents|Agricultural Equipment,http://www.powerhousemuseum.com/collection/database/?irn=365512,,,,"This text content licensed under<a href=""http://creativecommons.org/licenses/by-sa/2.5/au/"" rel=""license"" about=""http://www.powerhousemuseum.com/collection/database/?irn=365512#_cc-by-sa_content"">CC BY-SA</a>."
381252,"Molten optical glass from Mt. Stromlo Observatory, 2003",10/01/10,"Fused optical glass, astronomical mirror, optical workshop, Mt. Stromlo Observatory, Mt. Stromlo, Australian Capital Territory, Australia, 2003 Piece of optical glass with an opaque base and a translucent main body. The glass has a number of sharp edges, an angular instrusion, striations, and some discolouration.",The glass is clearly marked with a series of striations.,2003,: unknown; 2003|,"User: Mount Stromlo Observatory; Mount Stromlo, Australian Capital Territory; 2003|",Glass shards|Astronomy Equipment,http://www.powerhousemuseum.com/collection/database/?irn=381252,70 mm,,60 mm,"This text content licensed under<a href=""http://creativecommons.org/licenses/by-sa/2.5/au/"" rel=""license"" about=""http://www.powerhousemuseum.com/collection/database/?irn=381252#_cc-by-sa_content"">CC BY-SA</a>."
402320,"College bed/lounge designed by John Andrews, 1965",9/01/10,"College bed/lounge, University of Guelph, Ontario, designed by John Andrews, Canada, 1965 A bench bed constructed of marine plywood. Set on four castors, the bed consists of a rectangular box and a foam plastic mattress. The upper cover of the box is hinged laterally in two places to allow access to storage space beneath the mattress, while also converting the bed into a recliner lounge. Steel rods slot into the bed box to support the lid sections when open. Velcro strips secure the mattress to the bed.",,1965,: unknown; 1965|,,Sofa-beds|Furniture,http://www.powerhousemuseum.com/collection/database/?irn=402320,310 mm,860 mm,,"This text content licensed under<a href=""http://creativecommons.org/licenses/by-sa/2.5/au/"" rel=""license"" about=""http://www.powerhousemuseum.com/collection/database/?irn=402320#_cc-by-sa_content"">CC BY-SA</a>."
404458,"Vought-Sikorsky Kingfisher aircraft model, 2002",8/03/10,"Aircraft model, Vought-Sikorsky OS2U-3 Kingfisher A48-13, wood/metal, made by Iain Scott-Stevenson, Powerhouse Museum, Sydney, New South Wales, Australia, 2002 1:25 scale low wing monoplane on single main float with subsidiary wing floats. Fuselage painted all-over yellow with red nose on the main float. Black 'walkways' on the upper surface of the wings in black. Black propeller blades with yellow tips. Red stripe on each yellow tip. Red ADF loop on aft canopy.","Red, white and blue roundels on wing upper surfaces and on fuselage sides. Red, white and blue fin flash on both sides of vertical stabiliser. A48-13 in black on both sides of aft fuselage.",2002,: unknown; 2002|,,Scale models|Small scale models|Aircraft|Transport-Air,http://www.powerhousemuseum.com/collection/database/?irn=404458,190 mm,470 mm,,"This text content licensed under<a href=""http://creativecommons.org/licenses/by-sa/2.5/au/"" rel=""license"" about=""http://www.powerhousemuseum.com/collection/database/?irn=404458#_cc-by-sa_content"">CC BY-SA</a>."
404457,"Lockheed Vega aircraft model, 2002",8/02/10,"Aircraft model, Lockheed Vega 1, X3903, wood/metal, made by Iain Scott-Stevenson, Powerhouse Museum, Sydney, New South Wales, Australia, 2002 1:25 scale model high wing monoplane with all over orange finish with black engine, silver propeller blades and brown skis.",X3093 in black on upper surface of starboard wing repeated on the underside of the port wing. A black 5-pointed star on the vertical stabiliser both sides and also in black X3903 on the rudder both sides. On both sides of the fuselage in black: WILKINS ANTARCTIC EXPEDITION.,2002,: unknown; 2002|,,Scale models|Small scale models|Aircraft|Transport-Air,http://www.powerhousemuseum.com/collection/database/?irn=404457,140 mm,520 mm,,"This text content licensed under<a href=""http://creativecommons.org/licenses/by-sa/2.5/au/"" rel=""license"" about=""http://www.powerhousemuseum.com/collection/database/?irn=404457#_cc-by-sa_content"">CC BY-SA</a>."
404451,"DH Moth seaplane model, 2002",8/01/10,"Aircraft model, De Havilland 60G Moth seaplane, VH-ULD, wood / metal, made by Iain Scott-Stevenson, Powerhouse Museum, Sydney, New South Wales, Australia, 2002 1:25 scale biplane model with yellow fuselage, vertical stabiliser and rudder, wing and float struts. The wings, horizontal stabiliser and elevators, floats are silver. The floats have a black strip along the upper surface. The propeller is brown. The cockpit interior is green.",VH-ULD in black on both sides of fuselage and on top surface of upper wing,2002,: unknown; 2002|,,Scale models|Small scale models|Aircraft|Transport-Air,http://www.powerhousemuseum.com/collection/database/?irn=404451,150 mm,380 mm,,"This text content licensed under<a href=""http://creativecommons.org/licenses/by-sa/2.5/au/"" rel=""license"" about=""http://www.powerhousemuseum.com/collection/database/?irn=404451#_cc-by-sa_content"">CC BY-SA</a>."
404542,"Album containing television series collector cards, 1973 - 1997",7/01/10,"Album containing television series collector cards (243), 'TV Week NSW' June 10 1967, thank you letter, biography and sticker from 'The Afternoon Show', promotional leaflet for 'Over There', plastic / paper / metal, collected by Gary Nixon, Australia / United Kingdom / United States of America, 1973-1997 The television series collector cards in this collection include: '227' (USA, 1985 - 1990) 'The Charmings' (USA, 1987 - 1988) 'Who's the Boss' (USA, 1984 - 1992) 'All in the Family' (USA, 1971 - 1979) 'The Jeffersons' (USA, 1975 - 1985) 'Life with Lucy' (USA, 1986) 'One Day at a Time' (USA, 1975 - 1984) 'Diff'rent Strokes' (USA, 1978 - 1986) 'Dynasty' (USA, 1981 - 1989) 'The Colbys' (USA, 1985 - 1987) 'Hill Street Blues' (USA, 1981 - 1987) 'Miami Vice' (USA, 1984 - 1989) 'Growing Pains' (USA, 1985 - 1992) 'The Cosby Show' (1984 - 1992) 'Beverly Hills 90210' (USA, 1990 - 2000) 'Doctor Who' (UK, 1963 - 1989, 2005 - present) 'Happy Days' (USA, 1974 - 1984) 'Moonlighting' (USA, 1985 - 1989) 'Remington Steele' (USA, 1982 - 1987) 'Today' (Australia, 1982 - present) 'C'Mon Kids' (Australia, c. 1985) 'O.K. - Only for Kids' (Australia, c. 1985) 'National Nine News' (Australia) 'Hey Hey it's Saturday' (Australia, 1971 - 1999) 'A Current Affair' (Australia, 1971 - present) 'GP' (Australia, 1989 - 1996) 'Police Rescue' (Australia, 1989 - 1996) 'Home and Away' (Australia, 1987 - present) 'A Country Practice' (Australia, 1981 - 1993) 'Have a Go' (Australia, 1987) 'Saturday Morning Live' (Australia, c. 1985) 'The Comedy Company' (Australia, 1988 - 1990) 'Young Talent Time' (Australia, 1971 - 1988) 'The Henderson Kids II' (Australia, 1987) 'The Flying Doctors' (Australia, 1986 - 1993) 'Richmond Hill' (Australia, 1987) 'E Street', (Australia, 1989 - 1993) 'Neighbours' (Australia, 1985 - present) 'The Midday Show with Ray Martin' (Australia, 1985 - 1993) 'Sale of the Century' (Australia, 1980 - 2001) 'MTV Australia' (Australia, 1987 - 1993) 'Burke's Backyard' (Australia, 1987 - 2004) 'The cartoon Company' (Australia, c. 1985) 'Graham Kennedy Coast to Coast' (Australia, 1989) 'Wide World of Sports' (Australia, 1981 - present) 'Australia's Funniest Home Video Show' (Australia, 1991) 'Ten Sports' (Australia, C. 1980 - present) 'Humphrey B Bear' (Australia, 1965 - present) Star Search' (Australia, 1985 - 1986) 'Ridgey Didge' (Australia, 1987 - 1989) '60 Minutes' (Australia, 1979 - present) 'What's Cooking' (Australia, c. 1986) 'Willing and Abel' (Australia, 1987) 'All Together Now' (Australia, 1991 - 1993) 'Chances' (Australia, 1991 - 1992) 'Good Morning Australia (Kerri-Anne Kennerley)' (Australia, 1981 - 1991) 'The Early Bird Show' (Australia, 1985 - 1989) 'Just For The Record' (Australia, c. 1986) 'Wheel of Fortune' (Australia, 1981 - 2006) 'Off The Dish' (Australia, c. 1985) 'It's A Knockout' (Australia. 1985 - 1987) 'Shazam!' (Australia, c. 1985) 'Eyewitness News' (Australia, c. 1975 - 1988) 'Perfect Match' (Australia, 1984 - 1989) 'Bellbird' (Australia, 1967 - 1977) 'Paradise Beach' (Australia, 1993 - 1994) 'Wonder World!' (Australia, 1990) 'Blue Healers' (Australia, 1994 - 2006) Estelle Getty, actress, b. 1923 - 2008 The 'TV Week' magazine is in fair condition, and features articles on television programs and programming for the week of June 10 - 16, 1967. The thank you letter from ABC TV's 'The Afternoon Show' is handwritten by the host, Michael Tunn, thanking the donor for his letter to the show. The biography is for the host of ABC TV's 'The Afternoon Show', Michael Tunn. The sticker is a promotional sticker for ABC TV's 'The Afternoon Show'. The promotional leaflet for ABC TV's 'Over There' (1972) has a synopsis for the show, and information on national airing dates. The album that this collection is stored in has a black vinyl cover and plastic sleeves with paper inserts. The cards are secured with clear plastic corners.",,1973 - 1997,: unknown; 1973 - 1997|,,Collecting cards|Ephemera,http://www.powerhousemuseum.com/collection/database/?irn=404542,70 mm,240 mm,301 mm,"This text content licensed under<a href=""http://creativecommons.org/licenses/by-sa/2.5/au/"" rel=""license"" about=""http://www.powerhousemuseum.com/collection/database/?irn=404542#_cc-by-sa_content"">CC BY-SA</a>."
397247,"Apple I computer, 1976",6/01/10,"Personal computer, 'Apple I', timber / plastic / metal / electronic components, designed by Steve Wozniak, made by Apple Computer, Palo Alto, California, United States of America, 1976 The Apple I is housed in a tan leather briefcase. The open briefcase reveals the Apple I printed circuit board and components attached to the underside of the briefcase lid. The briefcase compartment contains the power supply in the upper left with a small piece of paper taped on top printed with instructions and a mains power lead with plug for removal and attachment to a power source, to the upper right is the cassette tape player which can be used to load and record instructions from the computer, a QWERTY keyboard is mounted in front of these items and may be removed from the case for placement in front of the user. The tan leather briefcase has a combination lock and the hinges at the back are broken.",,1976,: unknown; 1976|,,Personal computers|Computers,http://www.powerhousemuseum.com/collection/database/?irn=397247,,320 mm,105 mm,"This text content licensed under<a href=""http://creativecommons.org/licenses/by-sa/2.5/au/"" rel=""license"" about=""http://www.powerhousemuseum.com/collection/database/?irn=397247#_cc-by-sa_content"">CC BY-SA</a>."
404337,"Embroidered cushion cover, Melbourne 1934, 1934",2010/11/48,"Cushion cover, embroidered, linen / cotton, Melbourne anniversary, maker unknown, Australia, 1934 A square beige linen cushion cover. It features the embroidered text 'Wishing Melbourne / Many Happy Returns / of the Day / 18th October 1934' diagonally stitched across the fabric. Along the left side of the cushion cover is a waratah flower motif and in the bottom right corner is a native fuchsia motif. There is a ribbon bow attached through a hole in the fabric immediately above the text. The edges have been crocheted using grey thread and it is closed by five press-studs along the bottom edge.",,1934,: unknown; Australia; 1934|,,Cushion covers|Textiles|Domestic Equipment-Home,http://www.powerhousemuseum.com/collection/database/?irn=404337,,480 mm,,"This text content licensed under<a href=""http://creativecommons.org/licenses/by-sa/2.5/au/"" rel=""license"" about=""http://www.powerhousemuseum.com/collection/database/?irn=404337#_cc-by-sa_content"">CC BY-SA</a>."
404336,"Embroidered apron, 'woman with Australian flowers and kookaburra', 1920 - 1930",2010/11/47,"Apron, embroidered, linen / cotton, woman with Australian flowers and kookaburra design, maker unknown, Australia, 1920-1930 A cream linen apron. It features a rounded bib front and lower corners and shaped lower edge. It has a narrow crochet border and a small pocket on the right side. The neck ties have a button hole which fasten to a button sewn to the corner where the waist ties are attached (the left button is missing). The waist ties are cotton tape. It has been embroidered with a design featuring a woman in a blue 1920s-style dress holding a kookaburra in her left hand. In her left arm, she is holding a bunch of flowers including waratah, native fuchsias, wattle and flannel flowers. On the ground, in the background, are wattle and native fuchsia plants. This design has been embroidered using brown, blue, pink, black, red, yellow, green and white threads.",,1920 - 1930,: unknown; 1920 - 1930|,,Aprons|Clothing and Dress,http://www.powerhousemuseum.com/collection/database/?irn=404336,,519 mm,,"This text content licensed under<a href=""http://creativecommons.org/licenses/by-sa/2.5/au/"" rel=""license"" about=""http://www.powerhousemuseum.com/collection/database/?irn=404336#_cc-by-sa_content"">CC BY-SA</a>."
362441,"Embroidered doily, 'Greetings from Australia', 1920 - 1940",2010/11/46,"Doily, embroidery, linen / cotton, 'Greetings from Australia' design, maker unknown, Australia, 1920-1940 A round white linen doily. It has been roughly embroidered with a design featuring wattle and flowers and a scroll with the text 'Greetings from Australia' and a blue ribbon bow at the end of the scroll. The design has been stitched using green, yellow, mauve and pale blue thread. It features a narrowly scalloped crochet edge.",,1920 - 1940,: unknown; Australia; 1920 - 1940|,,Doilies|Textiles|Domestic Equipment-Home,http://www.powerhousemuseum.com/collection/database/?irn=362441,,183 mm,,"This text content licensed under<a href=""http://creativecommons.org/licenses/by-sa/2.5/au/"" rel=""license"" about=""http://www.powerhousemuseum.com/collection/database/?irn=362441#_cc-by-sa_content"">CC BY-SA</a>."
